title,slug,content_level,content_type,buyer_stage,monetization_fit,priority_score,priority_band,source_theme,source_cluster,repeated_across_queries,evidence_hits,keyword_hint,angle,recommended_cta,existing_overlap,status
Multi-Zone Hose Timers: When Do You Really Need Them?,multi-zone-hose-timers-when-do-you-really-need-them,L3 support / problem solver,guide,buyer,high,11.5,P4,Drip setup and expansion,Multi-Zone Hose Timers: When Do You Really Need Them?,1,1,"timers, understanding, them, hose, multi, zone","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Outdoor Faucet Timers: Complete Setup Guide for Patios,outdoor-faucet-timers-complete-setup-guide-for-patios,L2 money page,guide,buyer,high,11.5,P4,No tap / renter constraints,Outdoor Faucet Timers: Complete Setup Guide for Patios,1,1,"complete, patios, faucet, guide, installation, setup","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Overwatering Plants: Why It's Worse Than Underwatering,overwatering-plants-why-it-s-worse-than-underwatering,L2 money page,problem-solver,problem-aware,high,11.5,P4,Buyer guide: kits / systems,Overwatering Plants: Why It's Worse Than Underwatering,1,1,"worse, customer, avoid, overwatering, learning, than","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Plastic Bottle Watering Hack for Plants While Away,plastic-bottle-watering-hack-for-plants-while-away,L3 support / problem solver,problem-solver,problem-aware,medium,11.5,P4,Vacation / away watering,Plastic Bottle Watering Hack for Plants While Away,1,1,"customer, bottle, solutions, wants, plastic, cheap",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Quick Clip Attachments vs. Permanent Drip Setup: Do Both Need Timers?,quick-clip-attachments-vs-permanent-drip-setup-do-both-need-timers,L2 money page,comparison,buyer,high,11.5,P4,Drip setup and expansion,Quick Clip Attachments vs. Permanent Drip Setup: Do Both Need Timers?,1,1,"attachments, quick, clip, drip, flexibility, both","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Quick-Connect Fittings for Balcony Drip Irrigation: Installation Tips,quick-connect-fittings-for-balcony-drip-irrigation-installation-tips,L2 money page,technical-guide,solution-aware,high,11.5,P4,Drip setup and expansion,Quick-Connect Fittings for Balcony Drip Irrigation: Installation Tips,1,1,"easy, quick, tips, fittings, drip, connect","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Shade Cloths and Plant Watering: Do They Help While Away?,shade-cloths-and-plant-watering-do-they-help-while-away,L2 money page,problem-solver,problem-aware,high,11.5,P4,Buyer guide: kits / systems,Shade Cloths and Plant Watering: Do They Help While Away?,1,1,"customer, cloths, considering, shade, they, reduction",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Step-by-Step: Installing Your First Automatic Patio Watering System,step-by-step-installing-your-first-automatic-patio-watering-system,L2 money page,guide,buyer,high,11.5,P4,Drip setup and expansion,Step-by-Step: Installing Your First Automatic Patio Watering System,1,1,"first, patio, process, automatic, installing, setup","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Two-Pump Irrigation Systems: When and Why You'd Need Multiple Pumps,two-pump-irrigation-systems-when-and-why-you-d-need-multiple-pumps,L2 money page,problem-solver,buyer,high,11.5,P4,Drip setup and expansion,Two-Pump Irrigation Systems: When and Why You'd Need Multiple Pumps,1,1,"pumps, complex, why, multiple, two, pump","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Vacation Plant Care for Succulents and Drought-Tolerant Plants,vacation-plant-care-for-succulents-and-drought-tolerant-plants,L3 support / problem solver,problem-solver,problem-aware,high,11.5,P4,Buyer guide: kits / systems,Vacation Plant Care for Succulents and Drought-Tolerant Plants,1,1,"customer, vacation, care, tolerant, has, low",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Vacation Plant Care: What to Do in 24-48 Hours,vacation-plant-care-what-to-do-in-24-48-hours,L3 support / problem solver,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,Vacation Plant Care: What to Do in 24-48 Hours,1,1,"customer, hours, vacation, care, notice, travel",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Vacation Plant Watering for Herbs and Vegetables,vacation-plant-watering-for-herbs-and-vegetables,L3 support / problem solver,problem-solver,problem-aware,high,11.5,P4,Buyer guide: kits / systems,Vacation Plant Watering for Herbs and Vegetables,1,1,"customer, edible, vacation, protect, has, vegetables",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Water Tank Placement for Hidden Balcony Irrigation Systems,water-tank-placement-for-hidden-balcony-irrigation-systems,L2 money page,guide,buyer,high,11.5,P4,Drip setup and expansion,Water Tank Placement for Hidden Balcony Irrigation Systems,1,1,"placement, practical, tank, hidden, setup, systems","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Weekend Getaway? How Hose Timers Give You Peace of Mind,weekend-getaway-how-hose-timers-give-you-peace-of-mind,L2 money page,problem-solver,buyer,high,11.5,P4,Drip setup and expansion,Weekend Getaway? How Hose Timers Give You Peace of Mind,1,1,"confidence, peace, mind, travel, getaway, give",Problem-first travel guide with timer/reservoir/backup options.,Link to recommended products and core buyer guides.,new,candidate
What Damage Can Pooling Water Cause to Your Balcony?,what-damage-can-pooling-water-cause-to-your-balcony,L2 money page,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,What Damage Can Pooling Water Cause to Your Balcony?,1,1,"understanding, damage, consequences, pooling, cause","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
What Happens if You Ignore Pooling Water on Your Balcony?,what-happens-if-you-ignore-pooling-water-on-your-balcony,L2 money page,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,What Happens if You Ignore Pooling Water on Your Balcony?,1,1,"long, term, happens, ignore, consequences, pooling","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
What Happens to Plant Roots with Automatic Watering Systems?,what-happens-to-plant-roots-with-automatic-watering-systems,L2 money page,guide,buyer,high,11.5,P4,Timers and automation,What Happens to Plant Roots with Automatic Watering Systems?,1,1,"root, health, automatic, development, happens, systems","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
What Materials Can Help Prevent Balcony Water Pooling?,what-materials-can-help-prevent-balcony-water-pooling,L3 support / problem solver,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,What Materials Can Help Prevent Balcony Water Pooling?,1,1,"recommendations, product, help, pooling, prevent, materials","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
What to Do When Your Balcony Watering Floods Neighbors,what-to-do-when-your-balcony-watering-floods-neighbors,L3 support / problem solver,guide,solution-aware,medium,11.5,P4,No tap / renter constraints,What to Do When Your Balcony Watering Floods Neighbors,1,1,"responsibility, solving, neighbors, problem, floods","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
What's the Difference Between Pooling and Normal Moisture on a Balcony?,what-s-the-difference-between-pooling-and-normal-moisture-on-a-balcony,L2 money page,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,What's the Difference Between Pooling and Normal Moisture on a Balcony?,1,1,"pooling, normal, severity, moisture, understanding, levels","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Why Is Water Pooling Against My Balcony Building?,why-is-water-pooling-against-my-balcony-building,L2 money page,problem-solver,problem-aware,high,11.5,P4,Buyer guide: kits / systems,Why Is Water Pooling Against My Balcony Building?,1,1,"pooling, external, understanding, drainage, building, against","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Wicking System for Plants: How to Make and Use One,wicking-system-for-plants-how-to-make-and-use-one,L3 support / problem solver,problem-solver,buyer,high,11.5,P4,Buyer guide: kits / systems,Wicking System for Plants: How to Make and Use One,1,1,"wicking, customer, one, instructions, wants, detailed","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
"Apartment Balcony Watering: No Tap, No Problem",apartment-balcony-watering-no-tap-no-problem,L3 support / problem solver,guide,solution-aware,medium,11.0,P4,No tap / renter constraints,"Apartment Balcony Watering: No Tap, No Problem",1,1,"solution, tap, gardening, urban, problem","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Automatic Watering for Flowering Potted Plants,automatic-watering-for-flowering-potted-plants,L2 money page,guide,solution-aware,high,11.0,P4,Buyer guide: kits / systems,Automatic Watering for Flowering Potted Plants,1,2,"potted, automation, patio, works, automate, learn","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Automatic Watering System Leaks: How to Troubleshoot Common Problems,automatic-watering-system-leaks-how-to-troubleshoot-common-problems,L3 support / problem solver,problem-solver,buyer,high,11.0,P4,Budget DIY watering,Automatic Watering System Leaks: How to Troubleshoot Common Problems,1,1,"issue, problems, leaks, fixes, automatic, troubleshoot",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Balcony Watering Without Damaging Downstairs Neighbors,balcony-watering-without-damaging-downstairs-neighbors,L3 support / problem solver,problem-solver,problem-aware,medium,11.0,P4,No tap / renter constraints,Balcony Watering Without Damaging Downstairs Neighbors,1,1,"friendly, damaging, neighbors, solutions, downstairs","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Battery-Powered Drip Irrigation Timer for Renters,battery-powered-drip-irrigation-timer-for-renters,L3 support / problem solver,guide,buyer,high,11.0,P4,Hose / soaker options,Battery-Powered Drip Irrigation Timer for Renters,1,1,"plug, free, drip, powered, renters, options","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Can a Clogged Drain Cause Balcony Pooling?,can-a-clogged-drain-cause-balcony-pooling,L2 money page,problem-solver,problem-aware,high,11.0,P4,Drip setup and expansion,Can a Clogged Drain Cause Balcony Pooling?,1,1,"causes, drain, clogged, hidden, finding, pooling","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Can Small Automatic Watering Systems Handle Multiple Containers?,can-small-automatic-watering-systems-handle-multiple-containers,L2 money page,guide,buyer,high,11.0,P4,Budget DIY watering,Can Small Automatic Watering Systems Handle Multiple Containers?,1,1,"small, handle, multiple, automatic, systems, coverage",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Can Weatherproof Sealant Stop Water Pooling?,can-weatherproof-sealant-stop-water-pooling,L2 money page,problem-solver,problem-aware,high,11.0,P4,Drip setup and expansion,Can Weatherproof Sealant Stop Water Pooling?,1,1,"evaluating, weatherproof, sealant, solutions, stop, pooling","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Can You Use a Garden Hose Inside an Apartment?,can-you-use-a-garden-hose-inside-an-apartment,L3 support / problem solver,guide,solution-aware,high,11.0,P4,Budget DIY watering,Can You Use a Garden Hose Inside an Apartment?,1,1,"understanding, indoor, hose, options, inside",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Cheap vs. Expensive Hose Timers: What's Actually the Difference?,cheap-vs-expensive-hose-timers-what-s-actually-the-difference,L3 support / problem solver,comparison,buyer,high,11.0,P4,General balcony/container watering,Cheap vs. Expensive Hose Timers: What's Actually the Difference?,1,1,"expensive, hose, cheap, actually, considerations, difference","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Cheapest Way to Set Up Balcony Drip Irrigation,cheapest-way-to-set-up-balcony-drip-irrigation,L3 support / problem solver,guide,solution-aware,low,11.0,P4,Watering frequency and schedules,Cheapest Way to Set Up Balcony Drip Irrigation,1,1,"way, friendly, cheapest, drip, options, set","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Dealing with Water Dripping on Neighbors' Balconies,dealing-with-water-dripping-on-neighbors-balconies,L3 support / problem solver,guide,solution-aware,medium,11.0,P4,No tap / renter constraints,Dealing with Water Dripping on Neighbors' Balconies,1,1,"dealing, practices, neighbors, responsible, dripping","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Digital vs. Dial Hose Timers: Which Lasts Longer?,digital-vs-dial-hose-timers-which-lasts-longer,L2 money page,comparison,buyer,high,11.0,P4,Timers and automation,Digital vs. Dial Hose Timers: Which Lasts Longer?,1,1,"which, durability, comparison, hose, timer, lasts","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Drip Irrigation System Without Hose Hookup: Does It Work?,drip-irrigation-system-without-hose-hookup-does-it-work,L3 support / problem solver,problem-solver,buyer,high,11.0,P4,Budget DIY watering,Drip Irrigation System Without Hose Hookup: Does It Work?,1,1,"methods, drip, hose, alternative, hookup, work",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Flat vs Round Drip Tubing: Which Works Better for Balconies?,flat-vs-round-drip-tubing-which-works-better-for-balconies,L2 money page,comparison,buyer,high,11.0,P4,Timers and automation,Flat vs Round Drip Tubing: Which Works Better for Balconies?,1,1,"tubing, which, round, small, material, drip","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Make Drip Irrigation Quieter,how-to-make-drip-irrigation-quieter,L3 support / problem solver,problem-solver,problem-aware,high,11.0,P4,Drip setup and expansion,How to Make Drip Irrigation Quieter,1,1,"noise, drip, quieter, reduction, make, irrigation","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Measure Balcony Slope for Proper Drainage,how-to-measure-balcony-slope-for-proper-drainage,L3 support / problem solver,problem-solver,problem-aware,high,11.0,P4,Drip setup and expansion,How to Measure Balcony Slope for Proper Drainage,1,1,"diy, diagnostic, drainage, steps, measure, proper","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Is Pooling Water on a Balcony Dangerous?,is-pooling-water-on-a-balcony-dangerous,L2 money page,problem-solver,problem-aware,high,11.0,P4,Drip setup and expansion,Is Pooling Water on a Balcony Dangerous?,1,1,"dangerous, concerns, safety, damage, pooling","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Liquid Fertilizer in Plant Watering Systems: Should You?,liquid-fertilizer-in-plant-watering-systems-should-you,L2 money page,guide,buyer,high,11.0,P4,Timers and automation,Liquid Fertilizer in Plant Watering Systems: Should You?,1,1,"customer, fertilizer, combine, wants, liquid, systems","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Setting and Forgetting: How Long Can Timers Really Run Unattended?,setting-and-forgetting-how-long-can-timers-really-run-unattended,L2 money page,problem-solver,buyer,high,11.0,P4,Timers and automation,Setting and Forgetting: How Long Can Timers Really Run Unattended?,1,1,"forgetting, setting, run, over, long, unattended","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Solar Pump vs Battery Timer for Balcony Watering: Which Is Better?,solar-pump-vs-battery-timer-for-balcony-watering-which-is-better,L2 money page,comparison,buyer,high,11.0,P4,Timers and automation,Solar Pump vs Battery Timer for Balcony Watering: Which Is Better?,1,1,"which, solar, power, automated, comparing, pump","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Timer-Based Watering vs. Sensor-Based: Which Is Better?,timer-based-watering-vs-sensor-based-which-is-better,L2 money page,comparison,buyer,high,11.0,P4,Timers and automation,Timer-Based Watering vs. Sensor-Based: Which Is Better?,1,1,"which, compare, technologies, sensor, timer, automation","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
What Materials Do You Need for a DIY Gravity Fed System?,what-materials-do-you-need-for-a-diy-gravity-fed-system,L2 money page,guide,buyer,high,11.0,P4,Drip setup and expansion,What Materials Do You Need for a DIY Gravity Fed System?,1,1,"information, gravity, shopping, sourcing, diy, fed","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Why Your Container Plants Keep Drying Out (And How to Fix It),why-your-container-plants-keep-drying-out-and-how-to-fix-it,L3 support / problem solver,problem-solver,problem-aware,high,11.0,P4,Timers and automation,Why Your Container Plants Keep Drying Out (And How to Fix It),1,1,"problems, keep, fix, why, troubleshoot, out","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
WiFi vs. Battery: Which Smart Hose Timer Should You Buy?,wifi-vs-battery-which-smart-hose-timer-should-you-buy,L2 money page,comparison,buyer,high,11.0,P4,Timers and automation,WiFi vs. Battery: Which Smart Hose Timer Should You Buy?,1,1,"which, technologies, buy, comparing, hose, timer","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Will a Basic Timer Work With My Wireless Drip System?,will-a-basic-timer-work-with-my-wireless-drip-system,L2 money page,guide,buyer,high,11.0,P4,Timers and automation,Will a Basic Timer Work With My Wireless Drip System?,1,1,"will, wireless, compatibility, concerns, drip, timer","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Apartment Balcony Garden: Complete Drip System Setup,apartment-balcony-garden-complete-drip-system-setup,L3 support / problem solver,guide,buyer,high,10.5,P4,No tap / renter constraints,Apartment Balcony Garden: Complete Drip System Setup,1,1,"complete, drip, setup, walkthrough, beginners, full","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Are Expensive Hose Timers Actually More Reliable?,are-expensive-hose-timers-actually-more-reliable,L3 support / problem solver,guide,buyer,high,10.5,P4,No tap / renter constraints,Are Expensive Hose Timers Actually More Reliable?,1,1,"analysis, price, expensive, reliable, hose, quality","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Automatic Watering Systems for Small Balconies: Space-Saving Options,automatic-watering-systems-for-small-balconies-space-saving-options,L2 money page,guide,buyer,high,10.5,P4,No tap / renter constraints,Automatic Watering Systems for Small Balconies: Space-Saving Options,1,1,"small, solutions, automatic, saving, compact, options","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Balcony Watering System Comparison: Hoses vs. Timers vs. Manual,balcony-watering-system-comparison-hoses-vs-timers-vs-manual,L3 support / problem solver,comparison,buyer,high,10.5,P4,No tap / renter constraints,Balcony Watering System Comparison: Hoses vs. Timers vs. Manual,1,1,"framework, making, manual, comparison, hoses, decision","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Best Hose Timers for Balcony Gardens: A Beginner's Guide,best-hose-timers-for-balcony-gardens-a-beginner-s-guide,L2 money page,buyer-guide,buyer,high,10.5,P4,Hose / soaker options,Best Hose Timers for Balcony Gardens: A Beginner's Guide,1,1,"right, beginner, small, guide, spaces, finding","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Moisture Meters to Monitor Plants While Away,best-moisture-meters-to-monitor-plants-while-away,L2 money page,buyer-guide,buyer,high,10.5,P4,Vacation / away watering,Best Moisture Meters to Monitor Plants While Away,1,1,"customer, check, moisture, monitor, meters, wants",Problem-first travel guide with timer/reservoir/backup options.,Link to recommended products and core buyer guides.,new,candidate
Best Portable Watering Systems for Apartments,best-portable-watering-systems-for-apartments,L2 money page,buyer-guide,buyer,high,10.5,P4,Hose / soaker options,Best Portable Watering Systems for Apartments,1,1,"portable, easy, setup, takedown, options, systems","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Soaker Hose Setup for Balcony Gardening,best-soaker-hose-setup-for-balcony-gardening,L2 money page,buyer-guide,buyer,high,10.5,P4,Hose / soaker options,Best Soaker Hose Setup for Balcony Gardening,1,1,"gardening, soaker, solutions, setup, hose","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Can I Keep Balcony Plants in Sealed Bags While Away,can-i-keep-balcony-plants-in-sealed-bags-while-away,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,Can I Keep Balcony Plants in Sealed Bags While Away,1,1,"vacation, hack, keep, sealed, bags, away",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Can You Mix Gravity Fed and Drip Irrigation Together?,can-you-mix-gravity-fed-and-drip-irrigation-together,L2 money page,guide,solution-aware,high,10.5,P4,Drip setup and expansion,Can You Mix Gravity Fed and Drip Irrigation Together?,1,1,"gravity, mix, drip, hybrid, together, possibilities","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Can You Use a Gravity Fed System for Indoor Potted Plants?,can-you-use-a-gravity-fed-system-for-indoor-potted-plants,L2 money page,guide,buyer,high,10.5,P4,Drip setup and expansion,Can You Use a Gravity Fed System for Indoor Potted Plants?,1,1,"potted, application, gravity, indoor, possibilities, fed","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Deck and Balcony Watering: Which Timer Setup Works Best?,deck-and-balcony-watering-which-timer-setup-works-best,L2 money page,guide,buyer,high,10.5,P4,Hose / soaker options,Deck and Balcony Watering: Which Timer Setup Works Best?,1,1,"which, space, specific, solutions, setup, timer","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
DIY Capillary Watering System for Balcony Plants,diy-capillary-watering-system-for-balcony-plants,L2 money page,guide,buyer,high,10.5,P4,Drip setup and expansion,DIY Capillary Watering System for Balcony Plants,1,1,"capillary, wick, passive, diy, based","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
DIY Moisture Meter for Balcony Plants,diy-moisture-meter-for-balcony-plants,L2 money page,guide,solution-aware,high,10.5,P4,Drip setup and expansion,DIY Moisture Meter for Balcony Plants,1,1,"moisture, meter, checking, soil, diy","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Gardena Balcony Watering System Setup Guide,gardena-balcony-watering-system-setup-guide,L2 money page,guide,buyer,high,10.5,P4,No tap / renter constraints,Gardena Balcony Watering System Setup Guide,1,1,"solution, gardena, brand, specific, guide, setup","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Hiring Someone to Water Plants While Away: What to Expect,hiring-someone-to-water-plants-while-away-what-to-expect,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,Hiring Someone to Water Plants While Away: What to Expect,1,1,"professional, customer, services, considering, expect, hiring",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Install a Simple Watering System on a Rental Balcony,how-to-install-a-simple-watering-system-on-a-rental-balcony,L3 support / problem solver,problem-solver,buyer,high,10.5,P4,Drip setup and expansion,How to Install a Simple Watering System on a Rental Balcony,1,1,"friendly, solutions, rental, simple, non, renter","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
How to Install Drip Irrigation Without Damaging Apartment Floors,how-to-install-drip-irrigation-without-damaging-apartment-floors,L3 support / problem solver,problem-solver,problem-aware,high,10.5,P4,Drip setup and expansion,How to Install Drip Irrigation Without Damaging Apartment Floors,1,1,"friendly, damaging, drip, renter, install, installation","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Keep Plants Moist During a 2-Week Vacation,how-to-keep-plants-moist-during-a-2-week-vacation,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,How to Keep Plants Moist During a 2-Week Vacation,1,1,"customer, vacation, keep, travel, extended, moist",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Keep Plants Watered While Away for 2+ Weeks,how-to-keep-plants-watered-while-away-for-2-weeks,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,How to Keep Plants Watered While Away for 2+ Weeks,1,1,"vacation, keep, weeks, solutions, watered, away",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Keep Your Balcony Dry During Rainy Season,how-to-keep-your-balcony-dry-during-rainy-season,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,How to Keep Your Balcony Dry During Rainy Season,1,1,"keep, rainy, dry, season, seasonal, during","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Make a Self-Watering Container System,how-to-make-a-self-watering-container-system,L3 support / problem solver,problem-solver,buyer,high,10.5,P4,Budget DIY watering,How to Make a Self-Watering Container System,1,1,"pots, diy, self, make",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
How to Make a Watering System That Lasts 5+ Days Without Refilling,how-to-make-a-watering-system-that-lasts-5-days-without-refilling,L3 support / problem solver,problem-solver,buyer,high,10.5,P4,Budget DIY watering,How to Make a Watering System That Lasts 5+ Days Without Refilling,1,1,"days, less, refilling, maintenance, extended, capacity",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
How to Prevent Container Plants from Drying Out Between Waterings,how-to-prevent-container-plants-from-drying-out-between-waterings,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,No tap / renter constraints,How to Prevent Container Plants from Drying Out Between Waterings,1,1,"moisture, waterings, out, techniques, between, retention","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Prevent Mold and Mildew From Pooling Balcony Water,how-to-prevent-mold-and-mildew-from-pooling-balcony-water,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,No tap / renter constraints,How to Prevent Mold and Mildew From Pooling Balcony Water,1,1,"mildew, health, implications, pooling, prevent, mold","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Prevent Overwatering Balcony Plants,how-to-prevent-overwatering-balcony-plants,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,No tap / renter constraints,How to Prevent Overwatering Balcony Plants,1,1,"avoiding, overwatering, prevent, mistakes, common","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
