title,slug,content_level,content_type,buyer_stage,monetization_fit,priority_score,priority_band,source_theme,source_cluster,repeated_across_queries,evidence_hits,keyword_hint,angle,recommended_cta,existing_overlap,status
How to Water Balcony Plants Without Disturbing Neighbors Below,how-to-water-balcony-plants-without-disturbing-neighbors-below,L3 support / problem solver,problem-solver,problem-aware,medium,11.5,P4,No tap / renter constraints,How to Water Balcony Plants Without Disturbing Neighbors Below,1,1,"disturbing, below, practices, considerate, neighbors","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Micro Drip Irrigation Kit for Small Apartment Gardens,micro-drip-irrigation-kit-for-small-apartment-gardens,L2 money page,guide,buyer,high,11.5,P4,Drip setup and expansion,Micro Drip Irrigation Kit for Small Apartment Gardens,1,1,"kit, options, micro, drip, small, compact","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Multi-Zone Hose Timers: When Do You Really Need Them?,multi-zone-hose-timers-when-do-you-really-need-them,L3 support / problem solver,guide,buyer,high,11.5,P4,Drip setup and expansion,Multi-Zone Hose Timers: When Do You Really Need Them?,1,1,"benefits, them, hose, zone, understanding, timers","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Outdoor Faucet Timers: Complete Setup Guide for Patios,outdoor-faucet-timers-complete-setup-guide-for-patios,L2 money page,guide,buyer,high,11.5,P4,No tap / renter constraints,Outdoor Faucet Timers: Complete Setup Guide for Patios,1,1,"setup, outdoor, installation, learn, timers, complete","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Overwatering Plants: Why It's Worse Than Underwatering,overwatering-plants-why-it-s-worse-than-underwatering,L2 money page,problem-solver,problem-aware,high,11.5,P4,Buyer guide: kits / systems,Overwatering Plants: Why It's Worse Than Underwatering,1,1,"why, worse, learning, avoid, than, underwatering","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Quick Clip Attachments vs. Permanent Drip Setup: Do Both Need Timers?,quick-clip-attachments-vs-permanent-drip-setup-do-both-need-timers,L2 money page,comparison,buyer,high,11.5,P4,Drip setup and expansion,Quick Clip Attachments vs. Permanent Drip Setup: Do Both Need Timers?,1,1,"permanent, clip, both, setup, timer, attachments","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Quick-Connect Fittings for Balcony Drip Irrigation: Installation Tips,quick-connect-fittings-for-balcony-drip-irrigation-installation-tips,L2 money page,technical-guide,solution-aware,high,11.5,P4,Drip setup and expansion,Quick-Connect Fittings for Balcony Drip Irrigation: Installation Tips,1,1,"fittings, adjustments, setup, easy, tips, connect","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Shade Cloths and Plant Watering: Do They Help While Away?,shade-cloths-and-plant-watering-do-they-help-while-away,L2 money page,problem-solver,problem-aware,high,11.5,P4,Buyer guide: kits / systems,Shade Cloths and Plant Watering: Do They Help While Away?,1,1,"they, help, shade, evaporation, away, considering",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Step-by-Step: Installing Your First Automatic Patio Watering System,step-by-step-installing-your-first-automatic-patio-watering-system,L2 money page,guide,buyer,high,11.5,P4,Drip setup and expansion,Step-by-Step: Installing Your First Automatic Patio Watering System,1,1,"patio, process, automatic, setup, step, installing","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Two-Pump Irrigation Systems: When and Why You'd Need Multiple Pumps,two-pump-irrigation-systems-when-and-why-you-d-need-multiple-pumps,L2 money page,problem-solver,buyer,high,11.5,P4,Drip setup and expansion,Two-Pump Irrigation Systems: When and Why You'd Need Multiple Pumps,1,1,"understand, why, systems, two, pump, complex","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Vacation Plant Care for Succulents and Drought-Tolerant Plants,vacation-plant-care-for-succulents-and-drought-tolerant-plants,L3 support / problem solver,problem-solver,problem-aware,high,11.5,P4,Buyer guide: kits / systems,Vacation Plant Care for Succulents and Drought-Tolerant Plants,1,1,"has, vacation, tolerant, low, care, succulents",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Vacation Plant Care: What to Do in 24-48 Hours,vacation-plant-care-what-to-do-in-24-48-hours,L3 support / problem solver,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,Vacation Plant Care: What to Do in 24-48 Hours,1,1,"notice, vacation, hours, short, care, travel",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Vacation Plant Watering for Herbs and Vegetables,vacation-plant-watering-for-herbs-and-vegetables,L3 support / problem solver,problem-solver,problem-aware,high,11.5,P4,Buyer guide: kits / systems,Vacation Plant Watering for Herbs and Vegetables,1,1,"has, vacation, edible, vegetables, protect, herbs",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Water Tank Placement for Hidden Balcony Irrigation Systems,water-tank-placement-for-hidden-balcony-irrigation-systems,L2 money page,guide,buyer,high,11.5,P4,Drip setup and expansion,Water Tank Placement for Hidden Balcony Irrigation Systems,1,1,"placement, considerations, setup, hidden, systems, practical","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
What Damage Can Pooling Water Cause to Your Balcony?,what-damage-can-pooling-water-cause-to-your-balcony,L2 money page,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,What Damage Can Pooling Water Cause to Your Balcony?,1,1,"pooling, cause, understanding, damage, consequences","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
What Happens if You Ignore Pooling Water on Your Balcony?,what-happens-if-you-ignore-pooling-water-on-your-balcony,L2 money page,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,What Happens if You Ignore Pooling Water on Your Balcony?,1,1,"long, pooling, ignore, term, consequences, happens","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
What Happens to Plant Roots with Automatic Watering Systems?,what-happens-to-plant-roots-with-automatic-watering-systems,L2 money page,guide,buyer,high,11.5,P4,Timers and automation,What Happens to Plant Roots with Automatic Watering Systems?,1,1,"root, development, roots, automatic, health, systems","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
What Materials Can Help Prevent Balcony Water Pooling?,what-materials-can-help-prevent-balcony-water-pooling,L3 support / problem solver,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,What Materials Can Help Prevent Balcony Water Pooling?,1,1,"pooling, help, product, prevent, recommendations, materials","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
What to Do When Your Balcony Watering Floods Neighbors,what-to-do-when-your-balcony-watering-floods-neighbors,L3 support / problem solver,guide,solution-aware,medium,11.5,P4,No tap / renter constraints,What to Do When Your Balcony Watering Floods Neighbors,1,1,"solving, problem, neighbors, responsibility, floods","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
What's the Difference Between Pooling and Normal Moisture on a Balcony?,what-s-the-difference-between-pooling-and-normal-moisture-on-a-balcony,L2 money page,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,What's the Difference Between Pooling and Normal Moisture on a Balcony?,1,1,"pooling, normal, difference, moisture, levels, severity","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Why Is Water Pooling Against My Balcony Building?,why-is-water-pooling-against-my-balcony-building,L2 money page,problem-solver,problem-aware,high,11.5,P4,Buyer guide: kits / systems,Why Is Water Pooling Against My Balcony Building?,1,1,"pooling, building, why, drainage, understanding, against","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Wicking System for Plants: How to Make and Use One,wicking-system-for-plants-how-to-make-and-use-one,L3 support / problem solver,problem-solver,buyer,high,11.5,P4,Buyer guide: kits / systems,Wicking System for Plants: How to Make and Use One,1,1,"wicking, instructions, wants, one, detailed, make","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
"Apartment Balcony Watering: No Tap, No Problem",apartment-balcony-watering-no-tap-no-problem,L3 support / problem solver,guide,solution-aware,medium,11.0,P4,No tap / renter constraints,"Apartment Balcony Watering: No Tap, No Problem",1,1,"gardening, problem, tap, urban, solution","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Automatic Watering for Flowering Potted Plants,automatic-watering-for-flowering-potted-plants,L2 money page,guide,solution-aware,high,11.0,P4,Buyer guide: kits / systems,Automatic Watering for Flowering Potted Plants,1,2,"potted, automation, patio, works, outdoor, learn","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Automatic Watering System Leaks: How to Troubleshoot Common Problems,automatic-watering-system-leaks-how-to-troubleshoot-common-problems,L3 support / problem solver,problem-solver,buyer,high,11.0,P4,Budget DIY watering,Automatic Watering System Leaks: How to Troubleshoot Common Problems,1,1,"automatic, identification, leaks, troubleshoot, issue, fixes",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Balcony Watering Without Damaging Downstairs Neighbors,balcony-watering-without-damaging-downstairs-neighbors,L3 support / problem solver,problem-solver,problem-aware,medium,11.0,P4,No tap / renter constraints,Balcony Watering Without Damaging Downstairs Neighbors,1,1,"damaging, downstairs, friendly, neighbors, solutions","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Battery-Powered Drip Irrigation Timer for Renters,battery-powered-drip-irrigation-timer-for-renters,L3 support / problem solver,guide,buyer,high,11.0,P4,Hose / soaker options,Battery-Powered Drip Irrigation Timer for Renters,1,1,"plug, free, timer, renters, options, powered","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Can a Clogged Drain Cause Balcony Pooling?,can-a-clogged-drain-cause-balcony-pooling,L2 money page,problem-solver,problem-aware,high,11.0,P4,Drip setup and expansion,Can a Clogged Drain Cause Balcony Pooling?,1,1,"pooling, cause, drain, finding, hidden, causes","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Can Small Automatic Watering Systems Handle Multiple Containers?,can-small-automatic-watering-systems-handle-multiple-containers,L2 money page,guide,buyer,high,11.0,P4,Budget DIY watering,Can Small Automatic Watering Systems Handle Multiple Containers?,1,1,"coverage, automatic, zone, scalability, systems, multiple",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Can Weatherproof Sealant Stop Water Pooling?,can-weatherproof-sealant-stop-water-pooling,L2 money page,problem-solver,problem-aware,high,11.0,P4,Drip setup and expansion,Can Weatherproof Sealant Stop Water Pooling?,1,1,"pooling, weatherproof, stop, solutions, sealant, evaluating","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Can You Use a Garden Hose Inside an Apartment?,can-you-use-a-garden-hose-inside-an-apartment,L3 support / problem solver,guide,solution-aware,high,11.0,P4,Budget DIY watering,Can You Use a Garden Hose Inside an Apartment?,1,1,"inside, hose, options, understanding, indoor",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Capillary Mats for Plant Watering: Setup and Benefits,capillary-mats-for-plant-watering-setup-and-benefits,L2 money page,guide,solution-aware,high,11.0,P4,Timers and automation,Capillary Mats for Plant Watering: Setup and Benefits,1,1,"benefits, mat, setup, based, mats, researching","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Dealing with Water Dripping on Neighbors' Balconies,dealing-with-water-dripping-on-neighbors-balconies,L3 support / problem solver,guide,solution-aware,medium,11.0,P4,No tap / renter constraints,Dealing with Water Dripping on Neighbors' Balconies,1,1,"dripping, responsible, practices, dealing, neighbors","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Digital vs. Dial Hose Timers: Which Lasts Longer?,digital-vs-dial-hose-timers-which-lasts-longer,L2 money page,comparison,buyer,high,11.0,P4,Timers and automation,Digital vs. Dial Hose Timers: Which Lasts Longer?,1,1,"digital, hose, longer, lasts, timer, timers","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Drip Irrigation System Without Hose Hookup: Does It Work?,drip-irrigation-system-without-hose-hookup-does-it-work,L3 support / problem solver,problem-solver,buyer,high,11.0,P4,Budget DIY watering,Drip Irrigation System Without Hose Hookup: Does It Work?,1,1,"methods, source, hose, hookup, work, alternative",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Flat vs Round Drip Tubing: Which Works Better for Balconies?,flat-vs-round-drip-tubing-which-works-better-for-balconies,L2 money page,comparison,buyer,high,11.0,P4,Timers and automation,Flat vs Round Drip Tubing: Which Works Better for Balconies?,1,1,"works, comparison, round, spaces, tubing, which","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Make Drip Irrigation Quieter,how-to-make-drip-irrigation-quieter,L3 support / problem solver,problem-solver,problem-aware,high,11.0,P4,Drip setup and expansion,How to Make Drip Irrigation Quieter,1,1,"quieter, noise, drip, reduction, make, irrigation","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Measure Balcony Slope for Proper Drainage,how-to-measure-balcony-slope-for-proper-drainage,L3 support / problem solver,problem-solver,problem-aware,high,11.0,P4,Drip setup and expansion,How to Measure Balcony Slope for Proper Drainage,1,1,"drainage, proper, diagnostic, steps, diy, slope","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Is Pooling Water on a Balcony Dangerous?,is-pooling-water-on-a-balcony-dangerous,L2 money page,problem-solver,problem-aware,high,11.0,P4,Drip setup and expansion,Is Pooling Water on a Balcony Dangerous?,1,1,"pooling, safety, damage, concerns, dangerous","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Liquid Fertilizer in Plant Watering Systems: Should You?,liquid-fertilizer-in-plant-watering-systems-should-you,L2 money page,guide,buyer,high,11.0,P4,Timers and automation,Liquid Fertilizer in Plant Watering Systems: Should You?,1,1,"feeding, wants, systems, combine, liquid, fertilizer","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Setting and Forgetting: How Long Can Timers Really Run Unattended?,setting-and-forgetting-how-long-can-timers-really-run-unattended,L2 money page,problem-solver,buyer,high,11.0,P4,Timers and automation,Setting and Forgetting: How Long Can Timers Really Run Unattended?,1,1,"forgetting, long, unattended, setting, reliability, over","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Solar Pump vs Battery Timer for Balcony Watering: Which Is Better?,solar-pump-vs-battery-timer-for-balcony-watering-which-is-better,L2 money page,comparison,buyer,high,11.0,P4,Timers and automation,Solar Pump vs Battery Timer for Balcony Watering: Which Is Better?,1,1,"power, timer, pump, options, systems, which","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Timer-Based Watering vs. Sensor-Based: Which Is Better?,timer-based-watering-vs-sensor-based-which-is-better,L2 money page,comparison,buyer,high,11.0,P4,Timers and automation,Timer-Based Watering vs. Sensor-Based: Which Is Better?,1,1,"timer, technologies, sensor, automation, which, compare","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
What Materials Do You Need for a DIY Gravity Fed System?,what-materials-do-you-need-for-a-diy-gravity-fed-system,L2 money page,guide,buyer,high,11.0,P4,Drip setup and expansion,What Materials Do You Need for a DIY Gravity Fed System?,1,1,"information, sourcing, shopping, diy, gravity, fed","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Why Your Container Plants Keep Drying Out (And How to Fix It),why-your-container-plants-keep-drying-out-and-how-to-fix-it,L3 support / problem solver,problem-solver,problem-aware,high,11.0,P4,Timers and automation,Why Your Container Plants Keep Drying Out (And How to Fix It),1,1,"out, why, fix, troubleshoot, keep, drying","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
WiFi vs. Battery: Which Smart Hose Timer Should You Buy?,wifi-vs-battery-which-smart-hose-timer-should-you-buy,L2 money page,comparison,buyer,high,11.0,P4,Timers and automation,WiFi vs. Battery: Which Smart Hose Timer Should You Buy?,1,1,"battery, buy, hose, timer, technologies, which","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Will a Basic Timer Work With My Wireless Drip System?,will-a-basic-timer-work-with-my-wireless-drip-system,L2 money page,guide,buyer,high,11.0,P4,Timers and automation,Will a Basic Timer Work With My Wireless Drip System?,1,1,"will, wireless, basic, timer, work, concerns","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Apartment Balcony Garden: Complete Drip System Setup,apartment-balcony-garden-complete-drip-system-setup,L3 support / problem solver,guide,buyer,high,10.5,P4,No tap / renter constraints,Apartment Balcony Garden: Complete Drip System Setup,1,1,"setup, complete, full, beginners, drip, walkthrough","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Are Expensive Hose Timers Actually More Reliable?,are-expensive-hose-timers-actually-more-reliable,L3 support / problem solver,guide,buyer,high,10.5,P4,No tap / renter constraints,Are Expensive Hose Timers Actually More Reliable?,1,1,"analysis, reliable, quality, hose, actually, timers","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Automatic Watering Systems for Small Balconies: Space-Saving Options,automatic-watering-systems-for-small-balconies-space-saving-options,L2 money page,guide,buyer,high,10.5,P4,No tap / renter constraints,Automatic Watering Systems for Small Balconies: Space-Saving Options,1,1,"automatic, space, systems, options, saving, solutions","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Balcony Watering System Comparison: Hoses vs. Timers vs. Manual,balcony-watering-system-comparison-hoses-vs-timers-vs-manual,L3 support / problem solver,comparison,buyer,high,10.5,P4,No tap / renter constraints,Balcony Watering System Comparison: Hoses vs. Timers vs. Manual,1,1,"hoses, timers, decision, making, manual, framework","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Best Hose Timers for Balcony Gardens: A Beginner's Guide,best-hose-timers-for-balcony-gardens-a-beginner-s-guide,L2 money page,buyer-guide,buyer,high,10.5,P4,Hose / soaker options,Best Hose Timers for Balcony Gardens: A Beginner's Guide,1,1,"finding, beginner, spaces, hose, timer, timers","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Moisture Meters to Monitor Plants While Away,best-moisture-meters-to-monitor-plants-while-away,L2 money page,buyer-guide,buyer,high,10.5,P4,Vacation / away watering,Best Moisture Meters to Monitor Plants While Away,1,1,"moisture, remotely, wants, monitor, away, soil",Problem-first travel guide with timer/reservoir/backup options.,Link to recommended products and core buyer guides.,new,candidate
Best Portable Watering Systems for Apartments,best-portable-watering-systems-for-apartments,L2 money page,buyer-guide,buyer,high,10.5,P4,Hose / soaker options,Best Portable Watering Systems for Apartments,1,1,"portable, setup, systems, options, easy, takedown","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Soaker Hose Setup for Balcony Gardening,best-soaker-hose-setup-for-balcony-gardening,L2 money page,buyer-guide,buyer,high,10.5,P4,Hose / soaker options,Best Soaker Hose Setup for Balcony Gardening,1,1,"setup, gardening, hose, soaker, solutions","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Can I Keep Balcony Plants in Sealed Bags While Away,can-i-keep-balcony-plants-in-sealed-bags-while-away,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,Can I Keep Balcony Plants in Sealed Bags While Away,1,1,"bags, vacation, hack, sealed, keep, away",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Can You Mix Gravity Fed and Drip Irrigation Together?,can-you-mix-gravity-fed-and-drip-irrigation-together,L2 money page,guide,solution-aware,high,10.5,P4,Drip setup and expansion,Can You Mix Gravity Fed and Drip Irrigation Together?,1,1,"drip, hybrid, gravity, mix, fed, together","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
DIY Capillary Watering System for Balcony Plants,diy-capillary-watering-system-for-balcony-plants,L2 money page,guide,buyer,high,10.5,P4,Drip setup and expansion,DIY Capillary Watering System for Balcony Plants,1,1,"diy, passive, wick, capillary, based","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
DIY Moisture Meter for Balcony Plants,diy-moisture-meter-for-balcony-plants,L2 money page,guide,solution-aware,high,10.5,P4,Drip setup and expansion,DIY Moisture Meter for Balcony Plants,1,1,"moisture, meter, diy, checking, soil","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Gardena Balcony Watering System Setup Guide,gardena-balcony-watering-system-setup-guide,L2 money page,guide,buyer,high,10.5,P4,No tap / renter constraints,Gardena Balcony Watering System Setup Guide,1,1,"brand, specific, setup, solution, guide, gardena","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Hiring Someone to Water Plants While Away: What to Expect,hiring-someone-to-water-plants-while-away-what-to-expect,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,Hiring Someone to Water Plants While Away: What to Expect,1,1,"services, someone, hiring, professional, sitting, away",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Install a Simple Watering System on a Rental Balcony,how-to-install-a-simple-watering-system-on-a-rental-balcony,L3 support / problem solver,problem-solver,buyer,high,10.5,P4,Drip setup and expansion,How to Install a Simple Watering System on a Rental Balcony,1,1,"permanent, non, rental, install, friendly, simple","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
How to Install Drip Irrigation Without Damaging Apartment Floors,how-to-install-drip-irrigation-without-damaging-apartment-floors,L3 support / problem solver,problem-solver,problem-aware,high,10.5,P4,Drip setup and expansion,How to Install Drip Irrigation Without Damaging Apartment Floors,1,1,"damaging, floors, install, friendly, drip, renter","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Keep Plants Moist During a 2-Week Vacation,how-to-keep-plants-moist-during-a-2-week-vacation,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,How to Keep Plants Moist During a 2-Week Vacation,1,1,"week, extended, vacation, during, plans, moist",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Keep Plants Watered While Away for 2+ Weeks,how-to-keep-plants-watered-while-away-for-2-weeks,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,How to Keep Plants Watered While Away for 2+ Weeks,1,1,"vacation, watered, keep, weeks, away, solutions",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Keep Your Balcony Dry During Rainy Season,how-to-keep-your-balcony-dry-during-rainy-season,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,How to Keep Your Balcony Dry During Rainy Season,1,1,"during, keep, rainy, dry, management, seasonal","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Make a Self-Watering Container System,how-to-make-a-self-watering-container-system,L3 support / problem solver,problem-solver,buyer,high,10.5,P4,Budget DIY watering,How to Make a Self-Watering Container System,1,1,"diy, make, pots, self",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
How to Make a Watering System That Lasts 5+ Days Without Refilling,how-to-make-a-watering-system-that-lasts-5-days-without-refilling,L3 support / problem solver,problem-solver,buyer,high,10.5,P4,Budget DIY watering,How to Make a Watering System That Lasts 5+ Days Without Refilling,1,1,"maintenance, capacity, frequent, less, lasts, days",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
How to Prevent Container Plants from Drying Out Between Waterings,how-to-prevent-container-plants-from-drying-out-between-waterings,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,No tap / renter constraints,How to Prevent Container Plants from Drying Out Between Waterings,1,1,"prevent, out, moisture, waterings, techniques, between","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Prevent Mold and Mildew From Pooling Balcony Water,how-to-prevent-mold-and-mildew-from-pooling-balcony-water,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,No tap / renter constraints,How to Prevent Mold and Mildew From Pooling Balcony Water,1,1,"pooling, prevent, health, implications, mold, mildew","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Prevent Overwatering Balcony Plants,how-to-prevent-overwatering-balcony-plants,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,No tap / renter constraints,How to Prevent Overwatering Balcony Plants,1,1,"prevent, avoiding, common, mistakes, overwatering","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Redirect Balcony Water Away From Your Sliding Doors,how-to-redirect-balcony-water-away-from-your-sliding-doors,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,No tap / renter constraints,How to Redirect Balcony Water Away From Your Sliding Doors,1,1,"doors, sliding, entryways, protecting, away, redirect",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Tell If Your Plants Are Dehydrated After You Return,how-to-tell-if-your-plants-are-dehydrated-after-you-return,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,No tap / renter constraints,How to Tell If Your Plants Are Dehydrated After You Return,1,1,"vacation, return, health, after, wants, assess","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Indoor Plant Humidity While Away: Is It a Concern?,indoor-plant-humidity-while-away-is-it-a-concern,L2 money page,problem-solver,problem-aware,high,10.5,P4,Timers and automation,Indoor Plant Humidity While Away: Is It a Concern?,1,1,"worried, levels, humidity, about, away, indoor",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
